First Name,Last Name,Salary,Position,Team,Opponent,Line,Projection
A.J. Pollock,13417,4900,1B/2B,ARI,SDP,2,9.98
Jake Lamb,16087,4400,2B/SS,ARI,SDP,5,7
John Ryan Murphy,18414,3900,OF,ARI,SDP,8,6.73
Jon Jay,10610,3600,OF,ARI,SDP,6,7.24
Ketel Marte,15782,3700,C/OF,ARI,SDP,7,6.96
Nick Ahmed,15528,3300,1B/3B,ARI,SDP,4,10
Paul Goldschmidt,11431,5200,1B/C,ARI,SDP,1,8
Steven Souza,18018,3300,2B/OF,ARI,SDP,3,8.5
Austin Hedges,15943,2800,OF,SDP,ARI,4,4.95
Carlos Asuaje,35721,2900,2B/3B,SDP,ARI,1,6.52
Cory Spangenberg,15226,3400,2B/3B,SDP,ARI,2,5
Eric Hosmer,11184,3800,OF,SDP,ARI,6,7.78
Freddy Galvis,13388,2900,1B/SS,SDP,ARI,3,5.59
Hunter Renfroe,17857,3700,1B/OF,SDP,ARI,9,6.67
Travis Jankowski,16106,3900,C,SDP,ARI,8,9
Wil Myers,14944,4300,OF,SDP,ARI,7,7.37
